c_id,number_of_doors,tyre_type,number_of_cylinders,drive_type,turbo_charger,super_charger,length(mm),width(mm),height(mm),color,city,Mileage(Kmpl)
156,4,"Tubeless,Radial",4,FWD,No,No,4620,1775,1475,Golden,kolkata,14
157,5,Not specified,3,2WD,No,No,3429,1560,1541,Others,kolkata,23
158,5,Tubeless Tyres,4,FWD,Yes,No,4585,1890,1785,Orange,kolkata,16
159,4,"Tubeless,Radial",4,FWD,No,No,3585,1595,1550,White,kolkata,20
160,5,Tubeless Tyres,4,FWD,No,No,3840,1735,1530,Blue,kolkata,20
161,4,"Tubeless, Radial",4,FWD,Yes,No,4490,1730,1485,Silver,kolkata,28
162,5,"Tubeless,Radial",3,FWD,No,No,3600,1495,1595,Brown,kolkata,19
163,5,"Tubeless,Radial",4,FWD,No,No,3775,1680,1620,Blue,kolkata,18
164,5,"Tubeless,Radial",4,FWD,No,No,3999,1734,1601,Others,kolkata,18
165,5,"Tubeless,Radial",4,FWD,No,No,3995,1760,1555,White,kolkata,17
166,5,Tubeless,4,FWD,No,No,4270,1780,1665,White,kolkata,16
167,5,Tubeless Tyres,3,Not specified,No,No,3445,1515,1475,Others,kolkata,22
168,4,"Tubeless,Radial",4,FWD,No,No,4440,1695,1495,White,kolkata,17
169,4,"Tubeless,Radial",3,Not specified,No,No,3993,1677,1532,Red,kolkata,26
170,5,Tubeless,3,FWD,No,No,3495,1550,1500,Blue,kolkata,21
171,5,Tubeless Tyres,4,FWD,Yes,No,4585,1890,1785,White,kolkata,15
172,4,"Tubeless,Radial",4,FWD,Yes,No,4440,1695,1495,Brown,kolkata,25
173,5,Tubeless Tyres,3,FWD,No,No,3636,1475,1670,Grey,kolkata,21
174,4,"Tubeless,Radial",4,FWD,No,No,3585,1595,1550,Others,kolkata,20
175,4,"Tubeless,Radial",4,FWD,Yes,No,3995,1682,1483,Brown,kolkata,22
176,4,"Tubeless,Radial",4,FWD,No,No,4440,1695,1485,Brown,kolkata,17
177,5,Tubeless,3,FWD,No,No,3495,1550,1500,Blue,kolkata,21
178,5,"Tubeless, Radial",4,FWD,Yes,No,4315,1800,1645,Golden,kolkata,16
179,5,Tubeless,4,FWD,No,No,4270,1780,1665,White,kolkata,15
180,5,"Radial, Tubless",4,4X2,Yes,No,4395,1818,1640,Black,kolkata,17
181,4,"Tubeless,Radial",4,FWD,No,No,4440,1695,1495,Silver,kolkata,17
